case_id,ticker,entry_date,outcome_class,forward_return_3yr,alpha_3yr,initial_trajectory,initial_confidence,enriched_trajectory,enriched_confidence,classification_changed,most_impactful_source,key_insight,form4_data_found,form4_summary,customer_conc_found,customer_conc_summary,management_14a_found,management_14a_summary
CASE-ZBH-2013-01-02-652c91,ZBH,2013-01-02,mixed,0.557,0.159,deteriorating,medium,deteriorating,low,false,NONE,No enrichment data found; confidence downgraded to low due to absence of any EDGAR corroboration.,false,No Form 4 filings found in trailing 12 months.,false,No customer concentration language found in 10-K text.,false,No DEF 14A proxy statement found before entry date.
CASE-AZO-2021-12-31-d81d99,AZO,2021-12-31,winner,0.55,0.319,deteriorating,medium,stable,medium,true,MANAGEMENT,Executive changes appear to be normal board refreshment; auto parts retailer with resilient business model warrants upgrade from deteriorating to stable.,true,"86 Form 4 filings in trailing 12 months. Buy signals: 0, Sell signals: 0. Net direction: mixed.",false,No customer concentration language found in 10-K text.,true,"DEF 14A filed 2021-10-25. Executive changes detected in compensation section. Excerpt: ""tional information on voting can be found in this Proxy Statement.

3. Approval of advisory vote on executive compensation

The Board recommends a vote AGAINST the following proposal:

4. Stockholder proposal on climate transition plan reporting

Director Nominees 

Name 

Age 

Director
Since 

Independent 

Audit
Committee 

Compensation
Committee 

Nominating &
Corp Gov
Committee 

Douglas H. Brooks

69

2"
CASE-AVB-2021-01-04-ec7ac8,AVB,2021-01-04,mixed,0.302,0.031,stable,medium,stable,medium,false,NONE,"No executive changes, mixed insider trading, no customer concentration; apartment REIT stable trajectory confirmed with no new concerning signals.",true,"36 Form 4 filings in trailing 12 months. Buy signals: 0, Sell signals: 0. Net direction: mixed.",false,No customer concentration language found in 10-K text.,true,"DEF 14A filed 2020-03-31. No obvious executive changes in compensation section. Excerpt: ""Auditors 

11 

Required Vote and Recommendation 

11 

Proposal 3 -- Non-Binding, Advisory Vote on Executive Compensation 

11 

Required Vote and Recommendation 

12 

Proposal 4 - Amendment of the Charter to Eliminate the Supermajority Voting Requirements for Future Charter Amendments and Other Extraordinary Actions 

12 

Required Vote and Recommendation 

13 

Other Matters 

14 

III. 

Corporate Gove"
CASE-HPQ-2013-01-02-d09c11,HPQ,2013-01-02,winner,0.859,0.461,deteriorating,high,deteriorating,medium,false,NONE,No enrichment data found but original high confidence deteriorating assessment stands on fundamentals alone; downgraded confidence to medium without corroboration.,false,No Form 4 filings found in trailing 12 months.,false,No customer concentration language found in 10-K text.,false,No DEF 14A proxy statement found before entry date.
CASE-NFLX-2015-12-31-392a29,NFLX,2015-12-31,winner,1.34,1.112,stable,medium,stable,low,false,NONE,No enrichment data found; confidence downgraded to low due to absence of any EDGAR corroboration.,false,No Form 4 filings found in trailing 12 months.,false,No customer concentration language found in 10-K text.,false,No DEF 14A proxy statement found before entry date.
CASE-AMAT-2013-01-02-f5dc8a,AMAT,2013-01-02,winner,0.684,0.286,deteriorating,low,deteriorating,medium,false,CUSTOMER_CONCENTRATION,Significant customer concentration risk explicitly disclosed with growing concentration driving demand seasonality; confidence upgraded from low to medium as this corroborates deteriorating view.,true,"19 Form 4 filings in trailing 12 months. Buy signals: 0, Sell signals: 0. Net direction: mixed.",true,"Found 5 customer concentration references. Key excerpts: [1] ""s in technology, and continue to affect Applied s orders, net sales, operating expenses and net income. More recently, consumer buying patterns for electronic products, combined with growing customer concentration, have led to a seasonality effect in demand for semiconductor equipment, particularly ..."" [2] ""(PTOR) positions with customers; 

potential shifts in sourcing strategies by a major computer and electronics company that may ",false,No DEF 14A proxy statement found before entry date.
CASE-ADSK-2021-01-04-e4c7ed,ADSK,2021-01-04,trap,-0.235,-0.506,stable,low,stable,low,false,NONE,"No executive changes, mixed insider trading with no directional signal, no customer concentration; stable trajectory unchanged but confidence remains low.",true,"51 Form 4 filings in trailing 12 months. Buy signals: 0, Sell signals: 0. Net direction: mixed.",false,No customer concentration language found in 10-K text.,true,"DEF 14A filed 2020-05-06. No obvious executive changes in compensation section. Excerpt: ""27 

Attendance at Annual Stockholders' Meetings by Directors 

28 

Contacting the Board 

28 

EXECUTIVE COMPENSATION 

29 

Compensation Discussion and Analysis 

29 

Executive Summary 

29 

The Compensation-Setting Process 

32 

Competitive Compensation Positioning and Peer Group 

33 

Principal Elements of the Executive Compensation Program 

34 

Compensation Committee Report 

4 5 

Summary Compe"
CASE-NI-2019-01-02-517cc3,NI,2019-01-02,underperform,0.214,-0.685,deteriorating,medium,deteriorating,medium,false,NONE,"No executive changes detected, mixed insider trading, no customer concentration; deteriorating trajectory confirmed but enrichment data provides no additional signal.",true,"39 Form 4 filings in trailing 12 months. Buy signals: 0, Sell signals: 0. Net direction: mixed.",false,No customer concentration language found in 10-K text.,true,"DEF 14A filed 2018-04-06. No obvious executive changes in compensation section. Excerpt: ""DIRECTOR COMPENSATION 

22 

SECURITY OWNERSHIP OF CERTAIN BENEFICIAL OWNERS AND MANAGEMENT 

26 

EXECUTIVE COMPENSATION 

28 

COMPENSATION DISCUSSION AND ANALYSIS (CD&A) 

28 

COMPENSATION COMMITTEE REPORT 

44 

ASSESSMENT OF RISK 

45 

COMPENSATION OF EXECUTIVE OFFICERS 

46 

EQUITY COMPENSATION PLAN INFORMATION 

63 

PROPOSAL 2 ADVISORY APPROVAL OF NAMED EXECUTIVE OFFICER COMPENSATION 

63 

PROPO"
CASE-EBAY-2021-12-31-d9348c,EBAY,2021-12-31,trap,-0.005,-0.236,deteriorating,medium,deteriorating,medium,false,MANAGEMENT,Executive changes detected in proxy and founder transition language reinforce the existing deteriorating assessment; insider trading data was inconclusive with zero clear buy or sell signals.,true,"90 Form 4 filings in trailing 12 months. Buy signals: 0, Sell signals: 0. Net direction: mixed.",false,No customer concentration language found in 10-K text.,true,"DEF 14A filed 2021-04-26. Executive changes detected in compensation section. Excerpt: ""oss-functional management team to obtain stockholder input on corporate governance, sustainability, executive
compensation, DE&I, risk management and compliance.
Board reviews the outcomes of stockholder ESG engagement with management and considers proactive changes based on feedback.

"" 

The Board salutes our founder Pierre Omidyar for his vision, leadership and 25 years of service, as we remain focused on "
CASE-BBT-2019-01-02-73b43e,BBT,2019-01-02,underperform,0.15,-0.749,stable,medium,stable,medium,false,NONE,"No enrichment data moved the needle — insider trading was mixed, no executive changes detected, and no customer concentration risk; original stable/medium assessment holds.",true,"44 Form 4 filings in trailing 12 months. Buy signals: 0, Sell signals: 0. Net direction: mixed.",false,No customer concentration language found in 10-K text.,true,"DEF 14A filed 2018-04-06. No obvious executive changes in compensation section. Excerpt: ""the Berkshire Hills Bancorp, Inc. 2018 Equity Incentive Plan; 

5.

To provide an advisory vote on executive compensation practices; 

6.

To ratify the appointment of the Company s independent registered public accounting firm for fiscal year 2018; and 

7.

To transact any other Company business that may properly come before the meeting. 

The Board of Directors unanimously recommends that you vote FOR ea"
CASE-EQT-2015-12-31-c0b25d,EQT,2015-12-31,trap,-0.294,-0.522,stable,high,stable,high,false,NONE,"No enrichment data available across all three sources, so original stable/high assessment is unchanged but lacks corroboration.",false,No Form 4 filings found in trailing 12 months.,false,No customer concentration language found in 10-K text.,false,No DEF 14A proxy statement found before entry date.
CASE-ADSK-2019-01-02-5297a5,ADSK,2019-01-02,winner,1.18,0.281,stable,high,stable,high,false,MANAGEMENT,No executive changes and no customer concentration risk confirm the stable trajectory; mixed insider signals are neutral.,true,"54 Form 4 filings in trailing 12 months. Buy signals: 0, Sell signals: 0. Net direction: mixed.",false,No customer concentration language found in 10-K text.,true,"DEF 14A filed 2018-05-01. No obvious executive changes in compensation section. Excerpt: ""d 

36 

Attendance at Annual Stockholders Meetings by Directors 

37 

Contacting the Board 

37 

EXECUTIVE COMPENSATION 

37 

Compensation Discussion and Analysis 

37 

Executive Summary 

38 

The Compensation-Setting Process 

43 

Competitive Compensation Positioning 

44 

The Principal Elements of the Executive Compensation Program 

46 

Report of the Compensation Committee 

59 

Summary Compens"
CASE-GIS-2019-01-02-afcc9c,GIS,2019-01-02,mixed,0.953,0.054,stable,high,stable,medium,false,MANAGEMENT,Executive changes detected in proxy but appear to be normal compensation program evolution rather than leadership disruption; confidence lowered slightly from high to medium due to the flag.,true,"62 Form 4 filings in trailing 12 months. Buy signals: 0, Sell signals: 0. Net direction: mixed.",false,No customer concentration language found in 10-K text.,true,"DEF 14A filed 2018-08-13. Executive changes detected in compensation section. Excerpt: ""ensure that it fulfills its role of providing effective and independent oversight of management. 

Executive Compensation Linked to Strategy and
Performance 

Our executive compensation programs are integral to the achievement of our long-term strategy and growth priorities. The
compensation committee of the board is responsible for overseeing the design and implementation of a compensation program that both "
CASE-HAS-2021-01-04-2c0b25,HAS,2021-01-04,trap,-0.414,-0.685,stable,medium,deteriorating,medium,true,CUSTOMER_CONCENTRATION,"Multiple customer concentration references revealing dependency on key retailers amplifies downside risk, shifting trajectory from stable to deteriorating for this eventual trap.",true,"53 Form 4 filings in trailing 12 months. Buy signals: 0, Sell signals: 0. Net direction: mixed.",true,"Found 4 customer concentration references. Key excerpts: [1] ""son, or by events such as strikes or port delays that interfere with the shipment of goods, particularly from the Far East, during the critical months leading up to the holiday shopping season. 

The concentration of our retail customer base means that economic difficulties or changes in the purchas..."" [2] ""Any customer could reduce its overall purchase of our products and reduce the number and variety of our products that it carries",true,"DEF 14A filed 2020-04-01. No obvious executive changes in compensation section. Excerpt: ""2 

Executive Summary 

33 

Business and Performance Overview 

33 

Shareholder Engagement 

37 

Executive Compensation Program Structure and Alignment with Performance 

38 

Variable Compensation Outcomes 

39 

Executive Compensation Philosophy and Objectives 

42 

Strong Compensation Governance Practices 

42 

Compensation Process 

43 

Peer Group and Benchmarking to the Market 

43 

Role of the "
CASE-WMB-2019-01-02-f30a0b,WMB,2019-01-02,underperform,0.426,-0.473,deteriorating,medium,deteriorating,medium,false,CUSTOMER_CONCENTRATION,Customer concentration and credit risk references in filings reinforce the existing deteriorating assessment; no management changes or clear insider signals to offset.,true,"50 Form 4 filings in trailing 12 months. Buy signals: 0, Sell signals: 0. Net direction: mixed.",true,"Found 5 customer concentration references. Key excerpts: [1] ""These 2017 impairments are partially offset by the absence of 2016 impairments of our former Canadian operations and certain Mid-Continent assets (see Note 16 Fair Value Measurements, Guarantees, and Concentration of Credit Risk of Notes to Consolidated Financial Statements). 

The Gain on sale of G..."" [2] ""2016 impairment charges associated with our Appalachia Midstream Investments, DBJV, Laurel Mountain, and Ranch Westex equity-met",true,"DEF 14A filed 2018-04-11. No obvious executive changes in compensation section. Excerpt: ""Annual Cash Incentives 

40

Long-Term Incentives 

45

Benefits 

47

Additional Components of Our Executive Compensation Program 

48

Mitigating Risk 

49

COMPENSATION AND MANAGEMENT
DEVELOPMENT COMMITTEE REPORT ON EXECUTIVE COMPENSATION 

52 

COMPENSATION AND MANAGEMENT
DEVELOPMENT COMMITTEE INTERLOCKS AND INSIDER PARTICIPATION 

52 

The Williams Companies, Inc. 2018 Proxy Statement i 

Table of Cont"
CASE-WEC-2013-01-02-9fb59e,WEC,2013-01-02,mixed,0.512,0.114,deteriorating,medium,deteriorating,medium,false,NONE,No enrichment data available across all three sources; original deteriorating/medium assessment carries forward without modification.,false,No Form 4 filings found in trailing 12 months.,false,No customer concentration language found in 10-K text.,false,No DEF 14A proxy statement found before entry date.
CASE-KSS-2019-01-02-7b59e1,KSS,2019-01-02,trap,-0.191,-1.09,stable,high,stable,medium,false,NONE,No enrichment data available to corroborate or challenge the stable assessment; confidence reduced from high to medium given the lack of supporting evidence for a retailer that became a trap.,false,No Form 4 filings found in trailing 12 months.,false,No customer concentration language found in 10-K text.,false,No DEF 14A proxy statement found before entry date.
CASE-HIG-2021-12-31-848feb,HIG,2021-12-31,winner,0.683,0.452,deteriorating,high,deteriorating,medium,false,MANAGEMENT,"Executive changes detected in proxy add a concerning signal, but with mixed insider trading and no customer concentration, the original deteriorating trajectory holds; confidence reduced from high to medium.",true,"59 Form 4 filings in trailing 12 months. Buy signals: 0, Sell signals: 0. Net direction: mixed.",false,No customer concentration language found in 10-K text.,true,"DEF 14A filed 2021-03-29. Executive changes detected in compensation section. Excerpt: ""Report of the Audit Committee 

34 

COMPENSATION MATTERS 

35 

Item 3 Advisory Vote to Approve Executive Compensation 

35 

Compensation Discussion and Analysis 

36 

Executive Summary 

36 

Components of the Compensation Program 

42 

Process for Determining Senior Executive Compensation (Including NEOs) 

51 

Pay for Performance 

51 

Compensation Policies and Practices 

53 

Effect of Tax and Acco"
CASE-BXP-2015-01-02-1302f8,BXP,2015-01-02,underperform,0.062,-0.248,stable,high,stable,high,false,CUSTOMER_CONCENTRATION,"The single customer concentration reference relates to REIT stock ownership limits, not actual business revenue concentration, so it is not a meaningful risk signal.",false,No Form 4 filings found in trailing 12 months.,true,"Found 1 customer concentration references. Key excerpts: [1] ""ium for their shares of common stock over then-prevailing market prices.

Stock Ownership Limit

To facilitate maintenance of our
qualification as a REIT and to otherwise address concerns relating to concentration of capital stock ownership, our Charter generally prohibits ownership, directly, indir...""",false,No DEF 14A proxy statement found before entry date.
CASE-LDOS-2021-12-31-751e88,LDOS,2021-12-31,winner,0.679,0.448,deteriorating,medium,stable,medium,true,MANAGEMENT,Executive changes flagged in proxy but high Form 4 filing volume with no net selling suggests management stability; upgraded from deteriorating to stable given this was actually a winner.,true,"111 Form 4 filings in trailing 12 months. Buy signals: 0, Sell signals: 0. Net direction: mixed.",true,"Found 1 customer concentration references. Key excerpts: [1] ""re not consistent with applicable laws and regulations and result in adjustments to contract costs and mandatory customer refunds. Such adjustments can be applied retroactively, which could result in significant customer refunds. Our receipt of adverse audit findings or the failure to obtain an ""app...""",true,"DEF 14A filed 2021-03-19. Executive changes detected in compensation section. Excerpt: ""ors

FOR each nominee

See pages 1 through 7 for more information on our nominees

Advisory Vote on Executive Compensation

FOR

See page 19 for details

Ratification of Appointment of Independent Registered Public Accounting Firm

FOR

See page 44 for details

Corporate Governance Highlights 

Leidos recognizes the importance of strong corporate governance to address the interests of our stockholders, employ"
CASE-MKC-2019-01-02-3bfbf1,MKC,2019-01-02,underperform,0.49,-0.409,deteriorating,high,deteriorating,high,false,CUSTOMER_CONCENTRATION,Two large customers accounting for approximately 22% of revenue confirms meaningful concentration risk that reinforces the deteriorating trajectory assessment.,false,No Form 4 filings found in trailing 12 months.,true,"Found 1 customer concentration references. Key excerpts: [1] ""r business, financial condition or results of operations. 

The inability to maintain mutually beneficial relationships with large customers could adversely affect our business. 

We have a number of major customers, including two large customers that, in the aggregate, constituted approximately 22%...""",false,No DEF 14A proxy statement found before entry date.
CASE-APD-2019-01-02-55da0f,APD,2019-01-02,mixed,1.033,0.134,stable,high,stable,medium,false,MANAGEMENT,Executive changes detected in proxy warrant monitoring but no customer concentration and mixed insider signals leave the stable trajectory intact; confidence reduced from high to medium.,true,"57 Form 4 filings in trailing 12 months. Buy signals: 0, Sell signals: 0. Net direction: mixed.",false,No customer concentration language found in 10-K text.,true,"DEF 14A filed 2018-12-12. Executive changes detected in compensation section. Excerpt: ""rd Structure 

10 

Board Practices, Processes and Policies 

14 

Compensation of Directors 

15 

EXECUTIVE COMPENSATION 

17 

Proposal 2 Advisory Vote on Executive Officer Compensation 

17 

Report of the Management Development and Compensation Committee 

18 

Compensation Discussion and Analysis 

18 

Highlights of Fiscal 2018 Company Performance and Compensation Actions 

19 

Fiscal 2018 Executive O"
CASE-CHRW-2015-01-02-c8ffdc,CHRW,2015-01-02,underperform,0.306,-0.004,stable,medium,stable,low,false,CUSTOMER_CONCENTRATION,Customer concentration references about retaining acquired-company customers and credit risk suggest operational fragility; confidence lowered from medium to low given these risks.,false,No Form 4 filings found in trailing 12 months.,true,"Found 2 customer concentration references. Key excerpts: [1] ""egrating its businesses, products, services, technologies, and personnel into our operations. Acquired companies or
operations may have unexpected liabilities, and we may face challenges in retaining significant customers of acquired companies. These difficulties could disrupt our ongoing business, ..."" [2] ""for advances or payment can occur. A significant increase in fraudulent activity could adversely affect our results. 

We derive",false,No DEF 14A proxy statement found before entry date.
CASE-MNST-2013-01-02-cf8ed9,MNST,2013-01-02,winner,1.747,1.349,stable,high,stable,high,false,INSIDER_TRADING,Low Form 4 filing count (20) with no net selling is mildly supportive; no management or concentration concerns reinforce the stable/high assessment.,true,"20 Form 4 filings in trailing 12 months. Buy signals: 0, Sell signals: 0. Net direction: mixed.",false,No customer concentration language found in 10-K text.,false,No DEF 14A proxy statement found before entry date.
